token_index,folio,section,eva_token,prefix,root,suffix,latin_value,interpretation,exploratory_recognized,strict_parsed,failure_reason
6908,f43r,Botanical,chdy,,ch,dy,cortex,수피(cortex) + of (de),Yes,Yes,
6909,f43r,Botanical,shoy,,,,,,Yes,No,not_full_token_parse
6910,f43r,Botanical,dyty,,,,,,Yes,No,not_full_token_parse
6911,f43r,Botanical,dy,,dy,,de,~의(de),Yes,Yes,
6912,f43r,Botanical,pchdy,p,ch,dy,cortex,[위해(pro)] + 수피(cortex) + of (de),Yes,Yes,
6913,f43r,Botanical,kedy,,k,edy,coquitur,달임(coquitur) + through (per),Yes,Yes,
6914,f43r,Botanical,dam,,dam,,[verb],[처리]([verb]),Yes,Yes,
6915,f43r,Botanical,ytchedy,,,,,,Yes,No,not_full_token_parse
6916,f43r,Botanical,chedy,,ch,edy,cortex,수피(cortex) + through (per),Yes,Yes,
6917,f43r,Botanical,cheody,,cheo,dy,cortex,수피(cortex) + of (de),Yes,Yes,
6918,f43r,Botanical,shy,,sh,y,suber,코르크(suber) + adjective,Yes,Yes,
6919,f43r,Botanical,qoiiin,,,,,,Yes,No,not_full_token_parse
6920,f43r,Botanical,sheeeky,,,,,,Yes,No,not_full_token_parse
6921,f43r,Botanical,chedy,,ch,edy,cortex,수피(cortex) + through (per),Yes,Yes,
6922,f43r,Botanical,dain,,dain,,duramen,심재(duramen),Yes,Yes,
6923,f43r,Botanical,shy,,sh,y,suber,코르크(suber) + adjective,Yes,Yes,
6924,f43r,Botanical,ykolor,,,,,,Yes,No,not_full_token_parse
6925,f43r,Botanical,taiin,,,,,,Yes,No,not_full_token_parse
6926,f43r,Botanical,old,,,,,,Yes,No,not_full_token_parse
6927,f43r,Botanical,dshedy,,,,,,Yes,No,not_full_token_parse
6928,f43r,Botanical,qotedy,qo,t,edy,tunica,[~의(quod/de)] + 막/층(tunica) + through (per),Yes,Yes,
6929,f43r,Botanical,dor,,dor,,odor,향기(odor),Yes,Yes,
6930,f43r,Botanical,cheey,,ch,eey,cortex,수피(cortex) + of (emphatic),Yes,Yes,
6931,f43r,Botanical,odain,,,,,,Yes,No,not_full_token_parse
6932,f43r,Botanical,pshdar,,,,,,Yes,No,not_full_token_parse
6933,f43r,Botanical,shed,,,,,,Yes,No,not_full_token_parse
6934,f43r,Botanical,ody,,o,dy,aut,또는(aut) + of (de),Yes,Yes,
6935,f43r,Botanical,qotedy,qo,t,edy,tunica,[~의(quod/de)] + 막/층(tunica) + through (per),Yes,Yes,
6936,f43r,Botanical,yfchdy,,,,,,Yes,No,not_full_token_parse
6937,f43r,Botanical,qody,qo,d,y,de,[~의(quod/de)] + ~의(de) + adjective,Yes,Yes,
6938,f43r,Botanical,opchdy,op,ch,dy,cortex,[대향(contra)] + 수피(cortex) + of (de),Yes,Yes,
6939,f43r,Botanical,daiin,,daiin,,duramen,심재(duramen),Yes,Yes,
6940,f43r,Botanical,qokedy,qo,k,edy,coquitur,[~의(quod/de)] + 달임(coquitur) + through (per),Yes,Yes,
6941,f43r,Botanical,dydydy,,,,,,Yes,No,not_full_token_parse
6942,f43r,Botanical,qotar,,,,,,Yes,No,not_full_token_parse
6943,f43r,Botanical,ytchedy,,,,,,Yes,No,not_full_token_parse
6944,f43r,Botanical,ty,,t,y,tunica,막/층(tunica) + adjective,Yes,Yes,
6945,f43r,Botanical,shol,,shol,,suber,코르크(suber),Yes,Yes,
6946,f43r,Botanical,tldy,,,,,,Yes,No,not_full_token_parse
6947,f43r,Botanical,shody,,sh,ody,suber,코르크(suber) + -ward/direction,Yes,Yes,
6948,f43r,Botanical,oteedy,,ot,eedy,exterior,표면(exterior) + through (emphatic),Yes,Yes,
6949,f43r,Botanical,shdy,,sh,dy,suber,코르크(suber) + of (de),Yes,Yes,
6950,f43r,Botanical,otolol,,,,,,Yes,No,not_full_token_parse
6951,f43r,Botanical,shd,,,,,,Yes,No,not_full_token_parse
6952,f43r,Botanical,olky,,,,,,Yes,No,not_full_token_parse
6953,f43r,Botanical,ytol,y,tol,,totus,[지시(그-)] + 전체(totus),Yes,Yes,
6954,f43r,Botanical,otary,,,,,,Yes,No,not_full_token_parse
6955,f43r,Botanical,cheky,,,,,,Yes,No,not_full_token_parse
6956,f43r,Botanical,dy,,dy,,de,~의(de),Yes,Yes,
6957,f43r,Botanical,dor,,dor,,odor,향기(odor),Yes,Yes,
6958,f43r,Botanical,shol,,shol,,suber,코르크(suber),Yes,Yes,
6959,f43r,Botanical,qokol,,,,,,Yes,No,not_full_token_parse
6960,f43r,Botanical,shedy,,sh,edy,suber,코르크(suber) + through (per),Yes,Yes,
6961,f43r,Botanical,qotedy,qo,t,edy,tunica,[~의(quod/de)] + 막/층(tunica) + through (per),Yes,Yes,
6962,f43r,Botanical,qokeedy,qo,k,eedy,coquitur,[~의(quod/de)] + 달임(coquitur) + through (emphatic),Yes,Yes,
6963,f43r,Botanical,qokody,qo,k,ody,coquitur,[~의(quod/de)] + 달임(coquitur) + -ward/direction,Yes,Yes,
6964,f43r,Botanical,okeedy,,ok,eedy,exterior,외층(exterior) + through (emphatic),Yes,Yes,
6965,f43r,Botanical,otedy,,ot,edy,exterior,표면(exterior) + through (per),Yes,Yes,
6966,f43r,Botanical,shedy,,sh,edy,suber,코르크(suber) + through (per),Yes,Yes,
6967,f43r,Botanical,oty,,ot,y,exterior,표면(exterior) + adjective,Yes,Yes,
6968,f43r,Botanical,yty,y,t,y,tunica,[지시(그-)] + 막/층(tunica) + adjective,Yes,Yes,
6969,f43r,Botanical,dy,,dy,,de,~의(de),Yes,Yes,
6970,f43r,Botanical,saiin,,,,,,Yes,No,not_full_token_parse
6971,f43r,Botanical,tshed,,,,,,Yes,No,not_full_token_parse
6972,f43r,Botanical,qosheckhey,,,,,,Yes,No,not_full_token_parse
6973,f43r,Botanical,odeeedy,,,,,,Yes,No,not_full_token_parse
6974,f43r,Botanical,qeokeey,,,,,,Yes,No,not_full_token_parse
6975,f43r,Botanical,qotedy,qo,t,edy,tunica,[~의(quod/de)] + 막/층(tunica) + through (per),Yes,Yes,
6976,f43r,Botanical,daiin,,daiin,,duramen,심재(duramen),Yes,Yes,
6977,f43r,Botanical,shodody,,,,,,Yes,No,not_full_token_parse
6978,f43r,Botanical,shochol,,,,,,Yes,No,not_full_token_parse
6979,f43r,Botanical,chckhy,,,,,,Yes,No,not_full_token_parse
6980,f43r,Botanical,y,,,,,,No,No,not_full_token_parse
6981,f43r,Botanical,kedydy,,,,,,Yes,No,not_full_token_parse
6982,f43r,Botanical,ykeody,,,,,,Yes,No,not_full_token_parse
6983,f43r,Botanical,checkhy,,ch,eckhy,cortex,수피(cortex) + harmful (emphatic),Yes,Yes,
6984,f43r,Botanical,choteey,,,,,,Yes,No,not_full_token_parse
6985,f43r,Botanical,odain,,,,,,Yes,No,not_full_token_parse
6986,f43r,Botanical,chy,,chy,,chylos,즙(chylos),Yes,Yes,
6987,f43r,Botanical,chokoraiin,,,,,,Yes,No,not_full_token_parse
6988,f43v,Botanical,pdsairy,,,,,,Yes,No,not_full_token_parse
6989,f43v,Botanical,dalteoshy,,,,,,Yes,No,not_full_token_parse
6990,f43v,Botanical,dly,,,,,,Yes,No,not_full_token_parse
6991,f43v,Botanical,sheet,,,,,,Yes,No,not_full_token_parse
6992,f43v,Botanical,or,,or,,aureus,황색(aureus),Yes,Yes,
6993,f43v,Botanical,arodl,,,,,,Yes,No,not_full_token_parse
6994,f43v,Botanical,lkeo,,,,,,Yes,No,not_full_token_parse
6995,f43v,Botanical,r,,r,,re-,역(re-),Yes,Yes,
6996,f43v,Botanical,araiin,,,,,,Yes,No,not_full_token_parse
6997,f43v,Botanical,otedy,,ot,edy,exterior,표면(exterior) + through (per),Yes,Yes,
6998,f43v,Botanical,opolde,,,,,,Yes,No,not_full_token_parse
6999,f43v,Botanical,shedy,,sh,edy,suber,코르크(suber) + through (per),Yes,Yes,
7000,f43v,Botanical,octhy,,,,,,Yes,No,not_full_token_parse
7001,f43v,Botanical,otedy,,ot,edy,exterior,표면(exterior) + through (per),Yes,Yes,
7002,f43v,Botanical,chedy,,ch,edy,cortex,수피(cortex) + through (per),Yes,Yes,
7003,f43v,Botanical,dar,,dar,,duramen,심재(duramen),Yes,Yes,
7004,f43v,Botanical,chesy,,,,,,Yes,No,not_full_token_parse
7005,f43v,Botanical,okeody,,okeo,dy,exterior (seasonal),외층(계절)(exterior (seasonal)) + of (de),Yes,Yes,
7006,f43v,Botanical,oky,,ok,y,exterior,외층(exterior) + adjective,Yes,Yes,
7007,f43v,Botanical,okaldy,,,,,,Yes,No,not_full_token_parse
7008,f43v,Botanical,kchdy,,,,,,Yes,No,not_full_token_parse
7009,f43v,Botanical,okar,,,,,,Yes,No,not_full_token_parse
7010,f43v,Botanical,tody,,t,ody,tunica,막/층(tunica) + -ward/direction,Yes,Yes,
7011,f43v,Botanical,teedy,,t,eedy,tunica,막/층(tunica) + through (emphatic),Yes,Yes,
7012,f43v,Botanical,qot,qo,t,,tunica,[~의(quod/de)] + 막/층(tunica),Yes,Yes,
7013,f43v,Botanical,chocthy,,,,,,Yes,No,not_full_token_parse
7014,f43v,Botanical,chky,,,,,,Yes,No,not_full_token_parse
7015,f43v,Botanical,oky,,ok,y,exterior,외층(exterior) + adjective,Yes,Yes,
7016,f43v,Botanical,chdy,,ch,dy,cortex,수피(cortex) + of (de),Yes,Yes,
7017,f43v,Botanical,okedy,,ok,edy,exterior,외층(exterior) + through (per),Yes,Yes,
7018,f43v,Botanical,ykaiin,,,,,,Yes,No,not_full_token_parse
7019,f43v,Botanical,chey,,ch,ey,cortex,수피(cortex) + from/at,Yes,Yes,
7020,f43v,Botanical,ody,,o,dy,aut,또는(aut) + of (de),Yes,Yes,
7021,f43v,Botanical,dary,,dar,y,duramen,심재(duramen) + adjective,Yes,Yes,
7022,f43v,Botanical,dey,,d,ey,de,~의(de) + from/at,Yes,Yes,
7023,f43v,Botanical,ykeedy,y,k,eedy,coquitur,[지시(그-)] + 달임(coquitur) + through (emphatic),Yes,Yes,
7024,f43v,Botanical,chees,,,,,,Yes,No,not_full_token_parse
7025,f43v,Botanical,ain,,ain,,annulus,나이테(annulus),Yes,Yes,
7026,f43v,Botanical,shy,,sh,y,suber,코르크(suber) + adjective,Yes,Yes,
7027,f43v,Botanical,qocthedy,,,,,,Yes,No,not_full_token_parse
7028,f43v,Botanical,chey,,ch,ey,cortex,수피(cortex) + from/at,Yes,Yes,
7029,f43v,Botanical,qokar,,,,,,Yes,No,not_full_token_parse
7030,f43v,Botanical,checkhy,,ch,eckhy,cortex,수피(cortex) + harmful (emphatic),Yes,Yes,
7031,f43v,Botanical,okam,,ok,am,exterior,외층(exterior) + [process],Yes,Yes,
7032,f43v,Botanical,qokchedy,,,,,,Yes,No,not_full_token_parse
7033,f43v,Botanical,oralody,,,,,,Yes,No,not_full_token_parse
7034,f43v,Botanical,otedol,,,,,,Yes,No,not_full_token_parse
7035,f43v,Botanical,chcthdy,,,,,,Yes,No,not_full_token_parse
7036,f43v,Botanical,chtey,,,,,,Yes,No,not_full_token_parse
7037,f43v,Botanical,tolkchdy,,,,,,Yes,No,not_full_token_parse
7038,f43v,Botanical,okedy,,ok,edy,exterior,외층(exterior) + through (per),Yes,Yes,
7039,f43v,Botanical,qokedl,,,,,,Yes,No,not_full_token_parse
7040,f43v,Botanical,shedy,,sh,edy,suber,코르크(suber) + through (per),Yes,Yes,
7041,f43v,Botanical,okedal,,,,,,Yes,No,not_full_token_parse
7042,f43v,Botanical,shedy,,sh,edy,suber,코르크(suber) + through (per),Yes,Yes,
7043,f43v,Botanical,pchdol,,,,,,Yes,No,not_full_token_parse
7044,f43v,Botanical,otey,,ot,ey,exterior,표면(exterior) + from/at,Yes,Yes,
7045,f43v,Botanical,dalorain,,,,,,Yes,No,not_full_token_parse
7046,f43v,Botanical,ytshedy,,,,,,Yes,No,not_full_token_parse
7047,f43v,Botanical,ykeody,,,,,,Yes,No,not_full_token_parse
7048,f43v,Botanical,oykeedy,,,,,,Yes,No,not_full_token_parse
7049,f43v,Botanical,chedy,,ch,edy,cortex,수피(cortex) + through (per),Yes,Yes,
7050,f43v,Botanical,tedy,,t,edy,tunica,막/층(tunica) + through (per),Yes,Yes,
7051,f43v,Botanical,chcthy,,,,,,Yes,No,not_full_token_parse
7052,f43v,Botanical,otam,,ot,am,exterior,표면(exterior) + [process],Yes,Yes,
7053,f43v,Botanical,ot,,ot,,exterior,표면(exterior),Yes,Yes,
7054,f43v,Botanical,ytaiin,,,,,,Yes,No,not_full_token_parse
7055,f43v,Botanical,otas,,,,,,Yes,No,not_full_token_parse
7056,f43v,Botanical,shetcheodchs,,,,,,Yes,No,not_full_token_parse
7057,f43v,Botanical,ochedy,,,,,,Yes,No,not_full_token_parse
7058,f43v,Botanical,oteody,,oteo,dy,exterior (seasonal),외층(계절)(exterior (seasonal)) + of (de),Yes,Yes,
7059,f43v,Botanical,chedy,,ch,edy,cortex,수피(cortex) + through (per),Yes,Yes,
7060,f43v,Botanical,chody,,ch,ody,cortex,수피(cortex) + -ward/direction,Yes,Yes,
7061,f43v,Botanical,daiin,,daiin,,duramen,심재(duramen),Yes,Yes,
7062,f43v,Botanical,sheody,,she,ody,suber?,코르크?(suber?) + -ward/direction,Yes,Yes,
7063,f43v,Botanical,ykar,,,,,,Yes,No,not_full_token_parse
7064,f43v,Botanical,chef,,,,,,Yes,No,not_full_token_parse
7065,f43v,Botanical,ytdy,y,t,dy,tunica,[지시(그-)] + 막/층(tunica) + of (de),Yes,Yes,
7066,f43v,Botanical,olos,,,,,,Yes,No,not_full_token_parse
7067,f43v,Botanical,aiin,,aiin,,annulus,나이테(annulus),Yes,Yes,
7068,f43v,Botanical,ockhy,,,,,,Yes,No,not_full_token_parse
7069,f43v,Botanical,tarchor,,,,,,Yes,No,not_full_token_parse
7070,f43v,Botanical,ar,,ar,,radius,수선(radius),Yes,Yes,
7071,f43v,Botanical,aldar,,,,,,Yes,No,not_full_token_parse
7072,f43v,Botanical,chdy,,ch,dy,cortex,수피(cortex) + of (de),Yes,Yes,
7073,f43v,Botanical,daldar,,,,,,Yes,No,not_full_token_parse
7074,f43v,Botanical,chepy,,,,,,Yes,No,not_full_token_parse
7075,f43v,Botanical,yteedy,y,t,eedy,tunica,[지시(그-)] + 막/층(tunica) + through (emphatic),Yes,Yes,
7076,f43v,Botanical,s,,s,,est,이다(est),Yes,Yes,
7077,f43v,Botanical,ypchey,,,,,,Yes,No,not_full_token_parse
7078,f43v,Botanical,pchedy,p,ch,edy,cortex,[위해(pro)] + 수피(cortex) + through (per),Yes,Yes,
7079,f43v,Botanical,yfor,,,,,,Yes,No,not_full_token_parse
7080,f43v,Botanical,ysheey,y,sh,eey,suber,[지시(그-)] + 코르크(suber) + of (emphatic),Yes,Yes,
7081,f43v,Botanical,or,,or,,aureus,황색(aureus),Yes,Yes,
7082,f43v,Botanical,air,,air,,aureus,황색(aureus),Yes,Yes,
7083,f43v,Botanical,yteey,y,t,eey,tunica,[지시(그-)] + 막/층(tunica) + of (emphatic),Yes,Yes,
7084,f43v,Botanical,cheody,,cheo,dy,cortex,수피(cortex) + of (de),Yes,Yes,
7085,f43v,Botanical,ar,,ar,,radius,수선(radius),Yes,Yes,
7086,f43v,Botanical,sheo,,sheo,,suber,코르크(suber),Yes,Yes,
7087,f43v,Botanical,qody,qo,d,y,de,[~의(quod/de)] + ~의(de) + adjective,Yes,Yes,
7088,f43v,Botanical,chckhy,,,,,,Yes,No,not_full_token_parse
7089,f43v,Botanical,chdy,,ch,dy,cortex,수피(cortex) + of (de),Yes,Yes,
7090,f43v,Botanical,choty,,,,,,Yes,No,not_full_token_parse
7091,f43v,Botanical,she,,she,,suber?,코르크?(suber?),Yes,Yes,
7092,f43v,Botanical,yshee,,,,,,Yes,No,not_full_token_parse
7093,f43v,Botanical,kedy,,k,edy,coquitur,달임(coquitur) + through (per),Yes,Yes,
7094,f43v,Botanical,dar,,dar,,duramen,심재(duramen),Yes,Yes,
7095,f43v,Botanical,chey,,ch,ey,cortex,수피(cortex) + from/at,Yes,Yes,
7096,f43v,Botanical,qotedy,qo,t,edy,tunica,[~의(quod/de)] + 막/층(tunica) + through (per),Yes,Yes,
7097,f43v,Botanical,etaiin,,,,,,Yes,No,not_full_token_parse
7098,f43v,Botanical,chedy,,ch,edy,cortex,수피(cortex) + through (per),Yes,Yes,
7099,f43v,Botanical,cthey,,,,,,Yes,No,not_full_token_parse
7100,f43v,Botanical,oteol,,ot,eol,exterior,표면(exterior) + +lignum,Yes,Yes,
7101,f43v,Botanical,or,,or,,aureus,황색(aureus),Yes,Yes,
7102,f43v,Botanical,aiin,,aiin,,annulus,나이테(annulus),Yes,Yes,
7103,f43v,Botanical,odain,,,,,,Yes,No,not_full_token_parse
7104,f43v,Botanical,dshedy,,,,,,Yes,No,not_full_token_parse
7105,f43v,Botanical,tedy,,t,edy,tunica,막/층(tunica) + through (per),Yes,Yes,
7106,f43v,Botanical,ckhedy,,,,,,Yes,No,not_full_token_parse
7107,f43v,Botanical,chekcheey,,,,,,Yes,No,not_full_token_parse
7108,f43v,Botanical,dy,,dy,,de,~의(de),Yes,Yes,
7109,f43v,Botanical,keody,,,,,,Yes,No,not_full_token_parse
7110,f43v,Botanical,otedy,,ot,edy,exterior,표면(exterior) + through (per),Yes,Yes,
7111,f43v,Botanical,cheetam,,,,,,Yes,No,not_full_token_parse
7112,f43v,Botanical,okedar,,,,,,Yes,No,not_full_token_parse
7113,f43v,Botanical,amam,,am,am,[verb],[처리]([verb]) + [process],Yes,Yes,
7114,f43v,Botanical,dykeedain,,,,,,Yes,No,not_full_token_parse
7115,f43v,Botanical,chedy,,ch,edy,cortex,수피(cortex) + through (per),Yes,Yes,
7116,f43v,Botanical,okeedy,,ok,eedy,exterior,외층(exterior) + through (emphatic),Yes,Yes,
7117,f43v,Botanical,chedal,,,,,,Yes,No,not_full_token_parse
7118,f43v,Botanical,olkey,,,,,,Yes,No,not_full_token_parse
7119,f43v,Botanical,cheky,,,,,,Yes,No,not_full_token_parse
7120,f43v,Botanical,chol,,chol,,cortex,수피(cortex),Yes,Yes,
7121,f43v,Botanical,chedy,,ch,edy,cortex,수피(cortex) + through (per),Yes,Yes,
7122,f43v,Botanical,oteorom,,,,,,Yes,No,not_full_token_parse
7123,f43v,Botanical,qolkeey,,,,,,Yes,No,not_full_token_parse
7124,f43v,Botanical,kaldy,,,,,,Yes,No,not_full_token_parse
7125,f43v,Botanical,chy,,chy,,chylos,즙(chylos),Yes,Yes,
7126,f43v,Botanical,darod,,,,,,Yes,No,not_full_token_parse
7127,f43v,Botanical,qokeey,qo,k,eey,coquitur,[~의(quod/de)] + 달임(coquitur) + of (emphatic),Yes,Yes,
7128,f43v,Botanical,kol,,,,,,Yes,No,not_full_token_parse
7129,f43v,Botanical,dary,,dar,y,duramen,심재(duramen) + adjective,Yes,Yes,
7130,f43v,Botanical,taros,,,,,,Yes,No,not_full_token_parse
7131,f43v,Botanical,eees,,ee,es,et/eius,그리고(et/eius) + is (emphatic),Yes,Yes,
7132,f43v,Botanical,aiin,,aiin,,annulus,나이테(annulus),Yes,Yes,
7133,f43v,Botanical,oloaiin,,,,,,Yes,No,not_full_token_parse
7134,f43v,Botanical,oteos,,oteos,,exterior (seasonal),외층표면(계절)(exterior (seasonal)),Yes,Yes,
7135,f43v,Botanical,qoky,qo,k,y,coquitur,[~의(quod/de)] + 달임(coquitur) + adjective,Yes,Yes,
7136,f43v,Botanical,chey,,ch,ey,cortex,수피(cortex) + from/at,Yes,Yes,
7137,f44r,Botanical,tshodpy,,,,,,Yes,No,not_full_token_parse
7138,f44r,Botanical,oray,,,,,,Yes,No,not_full_token_parse
7139,f44r,Botanical,koees,,,,,,Yes,No,not_full_token_parse
7140,f44r,Botanical,ypsholy,,,,,,Yes,No,not_full_token_parse
7141,f44r,Botanical,shy,,sh,y,suber,코르크(suber) + adjective,Yes,Yes,
7142,f44r,Botanical,otoloaiin,,,,,,Yes,No,not_full_token_parse
7143,f44r,Botanical,ydsh,,,,,,Yes,No,not_full_token_parse
7144,f44r,Botanical,dyeees,,,,,,Yes,No,not_full_token_parse
7145,f44r,Botanical,y,,,,,,No,No,not_full_token_parse
7146,f44r,Botanical,ty,,t,y,tunica,막/층(tunica) + adjective,Yes,Yes,
7147,f44r,Botanical,oky,,ok,y,exterior,외층(exterior) + adjective,Yes,Yes,
7148,f44r,Botanical,okchey,,,,,,Yes,No,not_full_token_parse
7149,f44r,Botanical,qykchey,,,,,,Yes,No,not_full_token_parse
7150,f44r,Botanical,dchy,,,,,,Yes,No,not_full_token_parse
7151,f44r,Botanical,dy,,dy,,de,~의(de),Yes,Yes,
7152,f44r,Botanical,oair,,,,,,Yes,No,not_full_token_parse
7153,f44r,Botanical,ekokeey,,,,,,Yes,No,not_full_token_parse
7154,f44r,Botanical,kshotol,,,,,,Yes,No,not_full_token_parse
7155,f44r,Botanical,otal,,,,,,Yes,No,not_full_token_parse
7156,f44r,Botanical,daiin,,daiin,,duramen,심재(duramen),Yes,Yes,
7157,f44r,Botanical,ototaykal,,,,,,Yes,No,not_full_token_parse
7158,f44r,Botanical,ychor,y,chor,,cortex,[지시(그-)] + 수피(cortex),Yes,Yes,
7159,f44r,Botanical,ykchey,,,,,,Yes,No,not_full_token_parse
7160,f44r,Botanical,ykchy,,,,,,Yes,No,not_full_token_parse
7161,f44r,Botanical,chody,,ch,ody,cortex,수피(cortex) + -ward/direction,Yes,Yes,
7162,f44r,Botanical,dam,,dam,,[verb],[처리]([verb]),Yes,Yes,
7163,f44r,Botanical,toy,,,,,,Yes,No,not_full_token_parse
7164,f44r,Botanical,shysho,,,,,,Yes,No,not_full_token_parse
7165,f44r,Botanical,qoteey,qo,t,eey,tunica,[~의(quod/de)] + 막/층(tunica) + of (emphatic),Yes,Yes,
7166,f44r,Botanical,char,,char,,spina,가시(spina),Yes,Yes,
7167,f44r,Botanical,cheeky,,,,,,Yes,No,not_full_token_parse
7168,f44r,Botanical,sheey,,sheey,,humidus,수생/습(humidus),Yes,Yes,
7169,f44r,Botanical,ytey,y,t,ey,tunica,[지시(그-)] + 막/층(tunica) + from/at,Yes,Yes,
7170,f44r,Botanical,daiin,,daiin,,duramen,심재(duramen),Yes,Yes,
7171,f44r,Botanical,dshor,,,,,,Yes,No,not_full_token_parse
7172,f44r,Botanical,y,,,,,,No,No,not_full_token_parse
7173,f44r,Botanical,tchol,,,,,,Yes,No,not_full_token_parse
7174,f44r,Botanical,shy,,sh,y,suber,코르크(suber) + adjective,Yes,Yes,
7175,f44r,Botanical,o,,o,,aut,또는(aut),Yes,Yes,
7176,f44r,Botanical,cheekchy,,,,,,Yes,No,not_full_token_parse
7177,f44r,Botanical,qotchy,,,,,,Yes,No,not_full_token_parse
7178,f44r,Botanical,otchy,,,,,,Yes,No,not_full_token_parse
7179,f44r,Botanical,dar,,dar,,duramen,심재(duramen),Yes,Yes,
7180,f44r,Botanical,qot,qo,t,,tunica,[~의(quod/de)] + 막/층(tunica),Yes,Yes,
7181,f44r,Botanical,od,,od,,odor,향기(odor),Yes,Yes,
7182,f44r,Botanical,shol,,shol,,suber,코르크(suber),Yes,Yes,
7183,f44r,Botanical,qotshy,,,,,,Yes,No,not_full_token_parse
7184,f44r,Botanical,oyty,,,,,,Yes,No,not_full_token_parse
7185,f44r,Botanical,chom,,chom,,umbrosus,그늘(umbrosus),Yes,Yes,
7186,f44r,Botanical,pshy,p,sh,y,suber,[위해(pro)] + 코르크(suber) + adjective,Yes,Yes,
7187,f44r,Botanical,opchey,op,ch,ey,cortex,[대향(contra)] + 수피(cortex) + from/at,Yes,Yes,
7188,f44r,Botanical,qopchy,,,,,,Yes,No,not_full_token_parse
7189,f44r,Botanical,ofchey,,,,,,Yes,No,not_full_token_parse
7190,f44r,Botanical,roiry,,,,,,Yes,No,not_full_token_parse
7191,f44r,Botanical,sholos,,,,,,Yes,No,not_full_token_parse
7192,f44r,Botanical,ykchy,,,,,,Yes,No,not_full_token_parse
7193,f44r,Botanical,otchol,,,,,,Yes,No,not_full_token_parse
7194,f44r,Botanical,ol,,ol,,lignum,목질(lignum),Yes,Yes,
7195,f44r,Botanical,dchckhy,,,,,,Yes,No,not_full_token_parse
7196,f44r,Botanical,qoky,qo,k,y,coquitur,[~의(quod/de)] + 달임(coquitur) + adjective,Yes,Yes,
7197,f44r,Botanical,qotchy,,,,,,Yes,No,not_full_token_parse
7198,f44r,Botanical,qokchy,,,,,,Yes,No,not_full_token_parse
7199,f44r,Botanical,qokyd,,,,,,Yes,No,not_full_token_parse
7200,f44r,Botanical,qokchor,,,,,,Yes,No,not_full_token_parse
7201,f44r,Botanical,okchy,,,,,,Yes,No,not_full_token_parse
7202,f44r,Botanical,qoto,,,,,,Yes,No,not_full_token_parse
7203,f44r,Botanical,ykol,,,,,,Yes,No,not_full_token_parse
7204,f44r,Botanical,choky,,,,,,Yes,No,not_full_token_parse
7205,f44r,Botanical,choky,,,,,,Yes,No,not_full_token_parse
7206,f44r,Botanical,chol,,chol,,cortex,수피(cortex),Yes,Yes,
7207,f44r,Botanical,dam,,dam,,[verb],[처리]([verb]),Yes,Yes,
7208,f44r,Botanical,ytsho,,,,,,Yes,No,not_full_token_parse
7209,f44r,Botanical,qockhy,qo,ckhy,,nocumentum,[~의(quod/de)] + 유해성(nocumentum),Yes,Yes,
7210,f44r,Botanical,okchody,,,,,,Yes,No,not_full_token_parse
7211,f44v,Botanical,tsho,,,,,,Yes,No,not_full_token_parse
7212,f44v,Botanical,qotshy,,,,,,Yes,No,not_full_token_parse
7213,f44v,Botanical,cthol,,,,,,Yes,No,not_full_token_parse
7214,f44v,Botanical,d,,d,,de,~의(de),Yes,Yes,
7215,f44v,Botanical,chor,,chor,,cortex,수피(cortex),Yes,Yes,
7216,f44v,Botanical,otol,,otol,,pilus,선모(pilus),Yes,Yes,
7217,f44v,Botanical,shol,,shol,,suber,코르크(suber),Yes,Yes,
7218,f44v,Botanical,tol,,tol,,totus,전체(totus),Yes,Yes,
7219,f44v,Botanical,qotshol,,,,,,Yes,No,not_full_token_parse
7220,f44v,Botanical,otoldy,,otol,dy,pilus,선모(pilus) + of (de),Yes,Yes,
7221,f44v,Botanical,yolkol,,,,,,Yes,No,not_full_token_parse
7222,f44v,Botanical,cheol,,cheol,,cortex,수피류(cortex),Yes,Yes,
7223,f44v,Botanical,qokchain,,,,,,Yes,No,not_full_token_parse
7224,f44v,Botanical,daly,,dal,y,medulla,수髓(medulla) + adjective,Yes,Yes,
7225,f44v,Botanical,otchol,,,,,,Yes,No,not_full_token_parse
7226,f44v,Botanical,daiin,,daiin,,duramen,심재(duramen),Yes,Yes,
7227,f44v,Botanical,shol,,shol,,suber,코르크(suber),Yes,Yes,
7228,f44v,Botanical,qotor,,,,,,Yes,No,not_full_token_parse
7229,f44v,Botanical,ar,,ar,,radius,수선(radius),Yes,Yes,
7230,f44v,Botanical,tol,,tol,,totus,전체(totus),Yes,Yes,
7231,f44v,Botanical,okchor,,,,,,Yes,No,not_full_token_parse
7232,f44v,Botanical,shcthy,,,,,,Yes,No,not_full_token_parse
7233,f44v,Botanical,otol,,otol,,pilus,선모(pilus),Yes,Yes,
7234,f44v,Botanical,daiin,,daiin,,duramen,심재(duramen),Yes,Yes,
7235,f44v,Botanical,cthy,,cthy,,calidus,열/자극(calidus),Yes,Yes,
7236,f44v,Botanical,cthy,,cthy,,calidus,열/자극(calidus),Yes,Yes,
7237,f44v,Botanical,yokalod,,,,,,Yes,No,not_full_token_parse
7238,f44v,Botanical,shaiin,,,,,,Yes,No,not_full_token_parse
7239,f44v,Botanical,shor,,shor,,suber,코르크(suber),Yes,Yes,
